address,block_number,from,to,tokenId,transaction_hash,val
0x60f80121c31a0d46b5279700f9df786054aa5ee5,11870977,0xe064b904dfb30bdd37886efb20bb328a6b5b4a6c,0x108f4dc9f6bb4055a90f8f24217caa3623e2bb0f,0x0000000000000000000000000000000000000000000000000000000000021fb8,0x20168f8d206ee9c455c25ea167a7f6fb156bbc83ce4079a15325c03be4e4e6c8,0
0x60f80121c31a0d46b5279700f9df786054aa5ee5,11870977,0x108f4dc9f6bb4055a90f8f24217caa3623e2bb0f,0xe064b904dfb30bdd37886efb20bb328a6b5b4a6c,0x0000000000000000000000000000000000000000000000000000000000021ee2,0x20168f8d206ee9c455c25ea167a7f6fb156bbc83ce4079a15325c03be4e4e6c8,0
0x60f80121c31a0d46b5279700f9df786054aa5ee5,11870978,0x215f2962963d78dc9f9ffbcf2048694bb454dfd5,0xf6c55d6b94eaf8cc0f5ce6161ca93aa56dac5b73,0x00000000000000000000000000000000000000000000000000000000000214a5,0xbcb13ba0bcec922a7cbf4fff167745d73b2df90e032371608a01444fea308b9e,0
0x059edd72cd353df5106d2b9cc5ab83a52287ac3a,11870978,0x52a5ff2b96b7e95f6096ac42f1b20922d2f6b2f7,0xf2565fd865648012da5b8c4c8a6b444e244ed250,0x00000000000000000000000000000000000000000000000000000000000f4312,0x1b6d55f12526eab83ae2d7b04bc3a5187e370d67c18052d29c2097610c15076d,0.9
0x2a187453064356c898cae034eaed119e1663acb8,11870980,0xe5544f574e94d5ef60e9a180300b0ef6ccb75040,0x98829ae3011863525bcd7ccc9820d5640137d61b,0x89aac674d6783a88a0840c614574120190697299f1bfbe74f4a9c0ee4deb55a6,0xe4ee91647d23dbb5130832337f0bcfd5c060bfc40de0bc93514e555ea6085822,0
0xabefbc9fd2f806065b4f3c237d4b59d9a97bcac7,11871077,0x0000000000000000000000000000000000000000,0xa0aa062e49c871db5629929556d4ddea35a5510b,0x000000000000000000000000000000000000000000000000000000000000023d,0xb585d78d9dcf5c37f2b9ffeddabcd7a7de861b20f6119d9e2b593d5ecea9d6ec,0
0x4ad4455ad5ef891695c221e8e683efa65fabede0,11870980,0x9968efe1424d802e1f79fd8af8da67b0f08c814d,0x674be6fa9ce93405e824bbd2fa6afe27290ba3aa,0x0000000000000000000000000000000000000000000000000000000000000135,0x4575088596f70ff619d826e8e21c22a164eb2533da9c85e274dcddcfa759033f,0
0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85,11871002,0xb22cb1e819711ad2df713c26890a0c20fc267148,0x0000000000000000000000000000000000000000,0x695a42a8db06dd73b12168d0842df409b8c0c2052526453a05e77a4c2d089b29,0x2107be6a4b1e66acbfb9fda78a89cbb8ec1521982be4f80fe65d4f1e409de92a,0.003087465
0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85,11871002,0x0000000000000000000000000000000000000000,0x283af0b28c62c092c9727f1ee09c02ca627eb7f5,0x695a42a8db06dd73b12168d0842df409b8c0c2052526453a05e77a4c2d089b29,0x2107be6a4b1e66acbfb9fda78a89cbb8ec1521982be4f80fe65d4f1e409de92a,0.003087465
0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85,11871002,0x283af0b28c62c092c9727f1ee09c02ca627eb7f5,0x89b68cba02637cfb1266f0dece2856b040b563c3,0x695a42a8db06dd73b12168d0842df409b8c0c2052526453a05e77a4c2d089b29,0x2107be6a4b1e66acbfb9fda78a89cbb8ec1521982be4f80fe65d4f1e409de92a,0.003087465
0xc2c747e0f7004f9e8817db2ca4997657a7746928,11870980,0xf7adc901c921ca4eecc0f95a26aec81dacf57620,0x33bb361ff578fa67a726a39383d430b09f259fd5,0x0000000000000000000000000000000000000000000000000000000000001650,0xa0c305d79b5004b2b38a89fa2d2041fa0882f845e5fb5ec71db75abd26943b3c,2.2
0x2515abeca26f921af88241b1f84700650524a021,11871077,0x0000000000000000000000000000000000000000,0x4e9cfd9dc692565e61e157e1f61339d869381b50,0x0000000000000000000000000000000000000000000000000000000000000002,0x51cfd89f7b8a8cd4dd08bea2fb8acd89c7d58221893e09997bf21be3add1ab0d,0
0x8ae06a29a816580cbd069e460dd57c6c964bb3da,11871077,0x3401ea5a8d91c5e3944962c0148b08ac4a77f153,0xe052113bd7d7700d623414a0a4585bcae754e9d5,0x00000000000000000000000000000000000000000000000000000001bf091370,0x8140a1cba471a60ffb4560d94eefa2ad4b2ac00679f6766b128526eaf376401e,0
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,11871227,0x2e2b59fa153a82bff076de97a03b0f77c4ced415,0x8c9f364bf7a56ed058fc63ef81c6cf09c833e656,0x0000000000000000000000000000000000000000000000000000000000004b16,0xdc70f1b4544f8b88b811297007847458afc083b33ffc7951ba290c4f0467d045,0
0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270,11871102,0xc150cd52035ae57abb25f549634684961011ea52,0x5154dceeadd948111678616de0394a4544e3abe4,0x0000000000000000000000000000000000000000000000000000000000a7d94c,0x4040aa66f1fef5f8172eb24f6da1529a109cab098ba949a9257d838a9c7aa334,0.7
0x4ad4455ad5ef891695c221e8e683efa65fabede0,11871227,0x0000000000000000000000000000000000000000,0xae7721babd433e07ee107411719afa3a39738b81,0x0000000000000000000000000000000000000000000000000000000000000ddf,0x1a6899cf7eacec4221a3d1145839e10ee5f237875c1f9a2a44c8020078adb63d,0
0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270,11871102,0x149fd340ca0df54228aacdad7755b05d0e2b23d9,0xefcc4c68e1ddfaa4f0fa3a7479f0fb082f96a56b,0x0000000000000000000000000000000000000000000000000000000000b71c9d,0x6c0209876e08cbd6cda3e0b37709e8c1b40bfc58abea5b6cc2300a925fa13fbd,0.5
0xd1e5b0ff1287aa9f9a268759062e4ab08b9dacbe,11871177,0x0000000000000000000000000000000000000000,0x57acbee80995091c3c0c191cddb11ed2e6701484,0x1d23d0414f02320a67fe4ef3d1f9bb2e88893f8550d66fbbd77653ddfec0f545,0xf222bdde81cd1db4e1b23fb53dba48f379f8bf81d1b5374695f1470261e0661f,0
0xd1e5b0ff1287aa9f9a268759062e4ab08b9dacbe,11871177,0x0000000000000000000000000000000000000000,0x57acbee80995091c3c0c191cddb11ed2e6701484,0x03142206eadc6e3f1d1862bebf15b9b4627a233cc2f465a476d32f624e22ec5f,0x769c241b40d8f4c48557c1e9ad1ed5109da847460c5ba2d62ed5b613b84a0bc2,0
0x4ad4455ad5ef891695c221e8e683efa65fabede0,11871352,0x0000000000000000000000000000000000000000,0xae7721babd433e07ee107411719afa3a39738b81,0x0000000000000000000000000000000000000000000000000000000000000de7,0x9756ac2f002ebdd4b3a11928356bbddfdeff99d2dbbd8db1ac79c0c3483b1f1e,0
0x4ad4455ad5ef891695c221e8e683efa65fabede0,11871352,0x0000000000000000000000000000000000000000,0xae7721babd433e07ee107411719afa3a39738b81,0x0000000000000000000000000000000000000000000000000000000000000de8,0xa3965063a3ebb1a777861c36975066f327c06a859d6782509e18f617b286a1fd,0
0x75dde2c445a112d270d766697330be0db700636e,11871027,0x05e362bef8c3519a945a65e187e052e23613902c,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000000000000000000000000070,0x9de45cba82ad712c27ad1ef91371cf33ea6268ae4c1a5aa76798c8e4e369d2e1,0
0x60f80121c31a0d46b5279700f9df786054aa5ee5,11871352,0x09ee3a243463f3ad0a276db78176de6ce28dab0a,0xdcdb61860f979a16ead04af2f0d3234da99b3001,0x0000000000000000000000000000000000000000000000000000000000018ee7,0x800f3347f280aeac085adf90a79211d462b070369d2e90b4f97a40bf8207cbfe,0.070725
0x629a673a8242c2ac4b7b8c5d8735fbeac21a6205,11871177,0xcb322d24121c62ebce620eaffba821370567bed7,0xb16f0afaa296318055bd3d3ad1d10c3c8feb50b2,0x87f76a9c8ea4cc1dc584eb6f565754ea2817ac9265eb5c99cfb318e89ffee968,0x875eb5b04c2d3be7e88da9972c2aeccde1f3d42dd221ef120751883e666fb625,0
0x629a673a8242c2ac4b7b8c5d8735fbeac21a6205,11871177,0x69eb5222a89068a5307c8755b3954d19a3a10ff2,0xdaceb7dfbe5e19c21965ff96c368d16e5404ed9b,0x3b3b426017b07206557673d7e355c54d11dd4679a828582218629843ae8b5cc4,0xdb4b380ade12092b5cf5dab695538b4c2c164838253ff52a8a7dbf06c5b0c6e1,0
0x629a673a8242c2ac4b7b8c5d8735fbeac21a6205,11871177,0xa369c6dd994091e4e8c1cf34aabfa985984a2b37,0x389d710dd6356623f62bd4ed5fb701cd5b4f7e92,0x30edb8d3952a29f807e6bcf69779ff4fb1e1239c85486a8cd68c53853036a0f3,0xde6f39c76561d383f03344c4f2a5e0263fc44ac10242a740a77dd378d6b1f5a6,0
0x629a673a8242c2ac4b7b8c5d8735fbeac21a6205,11871177,0x327305a797d92a39cee1a225d7e2a1cc42b1a8fa,0x929a6220d339cca391406bcc66b03e229dbb2fe2,0xf2de5e152c955ea588a83807d61ef3ce0e09acdd524dca2c8254f223894f1251,0x6a5b2b1f2ce335e7239246a1c74cd8c0d86afc22c20c9893ed976d0011d20580,0
0x629a673a8242c2ac4b7b8c5d8735fbeac21a6205,11871177,0x327305a797d92a39cee1a225d7e2a1cc42b1a8fa,0xe2bb978d63e0e1bcb567f0af95cfd1d07ad9d2cb,0x17516fc10e227078aa42c8886e65b2c59cdb5b89ea11975ce7752a7d13b1254f,0x26b5e24ed42be2a333c6f4857d9c96421354568d03ba591d480dcfe53e9fa192,0
0x629a673a8242c2ac4b7b8c5d8735fbeac21a6205,11871177,0x327305a797d92a39cee1a225d7e2a1cc42b1a8fa,0x7675d9dcee236d45ef83dac898c0ca13e76306d1,0xe980591fe60830dde5d22970b5775cc1183398487315826c598799f4e9f8cb9c,0xba48551e32f475b2ccf60929e9f9bb7dc04c6fd93e91b4f12ca9f369f5e66d89,0
0x629a673a8242c2ac4b7b8c5d8735fbeac21a6205,11871177,0x327305a797d92a39cee1a225d7e2a1cc42b1a8fa,0x688bf7e6daa23e4387a2d2a4336ee162d7eddd35,0x51588726acfa9e3829e137d6807b05bd6c557edfc4d8a227e1b3d5c1f06e3fb8,0x647f41a03c529d02ad7d091378ac5172b25d343b88a978cd5989473f363caa1f,0
0x629a673a8242c2ac4b7b8c5d8735fbeac21a6205,11871177,0x165e35d4f0beb544ef394cf217a30c2c689d8726,0xfe29c5846dd31cd62b7142bfeb40b6ad21966562,0x36120561a2693f84e185b4ef7dfc7025b7b8c776212f0f507db59471f8a0e493,0x8675c5133924ad75a446b768796f848d8b07f4c70eabb08f5368404c69c0689f,0
0x629a673a8242c2ac4b7b8c5d8735fbeac21a6205,11871177,0x327305a797d92a39cee1a225d7e2a1cc42b1a8fa,0x10f9ea76267580eba3ed3978c49e320f189d74c2,0x0c986705219439e89a49de303d0897e4ef6f64db732bd8a3a03e970f39df85f2,0x7d4f7d6f2a072602124d6ab89b2741db3fc2a99f8c9b829593f2079f6da97e7a,0
0x629a673a8242c2ac4b7b8c5d8735fbeac21a6205,11871177,0x327305a797d92a39cee1a225d7e2a1cc42b1a8fa,0x427e7d1879d7d4b00256f35cc337b56bb4be5c72,0xdf0b29660b46b1562ec49943bb559eeb798274ac1f36d8e99ee98988d3eb248e,0x023b62514e0100ccc71be5d61b07d4b8af0f89b0fc1943b10243c8a371d4f400,0
0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85,11871102,0x0000000000000000000000000000000000000000,0x283af0b28c62c092c9727f1ee09c02ca627eb7f5,0x0849072b37bde1c0a55c6c85923d2bb446b7124e6318debbe9e79e73dca12aeb,0x57554845e01179fbff1be4ab362807afbad557b4228d9ce797000581c757c5b8,0.003095028
0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85,11871102,0x283af0b28c62c092c9727f1ee09c02ca627eb7f5,0xef1335914a41f20805bf3b74c7b597afc4dafbee,0x0849072b37bde1c0a55c6c85923d2bb446b7124e6318debbe9e79e73dca12aeb,0x57554845e01179fbff1be4ab362807afbad557b4228d9ce797000581c757c5b8,0.003095028
0x629a673a8242c2ac4b7b8c5d8735fbeac21a6205,11871177,0x327305a797d92a39cee1a225d7e2a1cc42b1a8fa,0x8c2e1f8405b91779b8e099c838be9323c4cde399,0x2a07c734c5b0290efff9d6c3b28158e47e6c0f76150501bec0b1562b83182451,0x87ae6300f2be96816dd428dad58a8efa23ab518fff190dcb26d2819bb52a191c,0
0x629a673a8242c2ac4b7b8c5d8735fbeac21a6205,11871177,0x327305a797d92a39cee1a225d7e2a1cc42b1a8fa,0x647dec2943b2a17361085cec82709076f9ee66f2,0xf48f08fc0ebbf0e81fe43dceba580888d54010bdd0f5f69d2033e414b382a426,0x5c5aa4dfbe17fa01624afb0ac357420fbd94c3a7bd5a87d2bf1f6a7e1f99ceb8,0
0x629a673a8242c2ac4b7b8c5d8735fbeac21a6205,11871177,0x327305a797d92a39cee1a225d7e2a1cc42b1a8fa,0x8cd74b428851c3dcef85645d55b93dcba39044e1,0xdfd4892fd24adec2b292df2760c03c13dc853dd60a64a7c0384c3b6a12ecdd1e,0x611a7068d6cbab8fbde178a733a629629fca3632d229f1954423ae5fc290d131,0
0x629a673a8242c2ac4b7b8c5d8735fbeac21a6205,11871177,0x327305a797d92a39cee1a225d7e2a1cc42b1a8fa,0x799f9cd7c6dc0cbdab04f9b9b954565c49f9d6c1,0x9d1c1752cc0d1c823846fd21ed0df8f2c518fdd959241f92b7158a7e0c5ec2f5,0xe80fe4b48481a49a98eaff82edf7562586b710330153cb683f3e0a4b4c61d8e8,0
0x629a673a8242c2ac4b7b8c5d8735fbeac21a6205,11871177,0x327305a797d92a39cee1a225d7e2a1cc42b1a8fa,0x3e96391280a16bedfaef304a60ee9ec9e858f385,0x32d1f93e6de70dfc0ec920ed5ad5575841b561abe94850c6ca81c1d29c6d187d,0x1bb1013395b1dbed3fa1cbd286cab66f5f6f9ff720a67b82ca4078de03d68a9e,0
0x629a673a8242c2ac4b7b8c5d8735fbeac21a6205,11871177,0xa3954d4c56d6ae8da1f23782ec5278760b205c52,0x432cc682dd5a59ae2fe5d3854b890fc9a9698670,0x5d8bea4b919fbb673ecd90490938c47b67360e275ee260bf494383baa1880cae,0x9bff1fbdc9ae0039f3322c2ed58bdfa4ca097b44993ae1b87d9fb0da5aeebe84,0
0x629a673a8242c2ac4b7b8c5d8735fbeac21a6205,11871177,0x327305a797d92a39cee1a225d7e2a1cc42b1a8fa,0xefa23fa2b659fb249a6dd53e9431c4a64a4f8798,0x6df73a06e2dd7c3e231705d86e1c101a9e7f9b808424ca6499c6b8ce25e26aab,0xd9a88109388636b5077ddd0d0126e66718b99cdb34eb6bba66eaba61084dfae4,0
0x629a673a8242c2ac4b7b8c5d8735fbeac21a6205,11871177,0x327305a797d92a39cee1a225d7e2a1cc42b1a8fa,0xb5b424ce7e5df18bd7955c43bad6e19bdbf7282a,0x522148da6bf94dea6ec794159f736a359c629f31c53f1c58bb88993403494483,0x773ea0dfd717ae9cd836a5631391ed1b27246cafbac853d0562ead83a9e4d787,0
0xd1e5b0ff1287aa9f9a268759062e4ab08b9dacbe,11871202,0x0000000000000000000000000000000000000000,0x57acbee80995091c3c0c191cddb11ed2e6701484,0x0c3a5be1791a4eb627475a2a41f629f62e031aacd94b5d3ca216d2e2592e1251,0xbd85cb592aca875a86787bf2770944987b3d6f18fbaa240b1d5a48b188006bdb,0
0xfbeef911dc5821886e1dda71586d90ed28174b7d,11871277,0x0000000000000000000000000000000000000000,0x931d24f3dede331bfd02a1aa855e9cbf7f0ea2e7,0x00000000000000000000000000000000000000000000000000000000000446ed,0xacc4b07e275a0bcd8daff93af386e74c5b12914418b2d3ae9d5f667b36e95536,0.25
0xd35147be6401dcb20811f2104c33de8e97ed6818,11871352,0x5a6e40b29bf20e4f60e7becb571af5ad5796a3c4,0xbf5ed931aebfce6e7aab9ecb4e0317eff84e7be4,0x00000000000000000000000000000000000000000000000000000000000003ae,0xe608b5538ea3a55fb40c9bdfc213c7385602ccb4615be4ff2903950e020048a2,0.0102
0x959e104e1a4db6317fa58f8295f586e1a978c297,11871277,0x59ae95649dbbd979914fdc2189c998fce7e2b8bb,0xe479dfd9664c693b2e2992300930b00bfde08233,0x0000000000000000000000000000000000000000000000000000000000000e78,0xcf4c470cd06ebd18305395748ca396e4bdc80dc4f56017e2ad189b45300515e6,0
0x959e104e1a4db6317fa58f8295f586e1a978c297,11871277,0xe479dfd9664c693b2e2992300930b00bfde08233,0xbaa84e6a9e66fa0846931c6bf79e8c2763b50b9d,0x0000000000000000000000000000000000000000000000000000000000000e78,0xcf4c470cd06ebd18305395748ca396e4bdc80dc4f56017e2ad189b45300515e6,0
0x913ae503153d9a335398d0785ba60a2d63ddb4e2,11871177,0xa672838a5d9755a68a526f7ee5b94b18c2d66158,0x11fd0bd18b79d75116a9e1fb0c4c2c4ac0f5560c,0x000000000000000000000000000000000000000000000000000000000000008c,0x6aba1819ac9fbd25bc9962b8dc53d80577f3a4cbaf444789ed42f8a4020037b7,0
