,fromId,toId,val,tokenId,address,transaction_hash,block_number
0,949705,70991,0.0,0x0000000000000000000000000000000000000000000000000000000000021fb8,0x60f80121c31a0d46b5279700f9df786054aa5ee5,0x20168f8d206ee9c455c25ea167a7f6fb156bbc83ce4079a15325c03be4e4e6c8,11870977
1,70991,949705,0.0,0x0000000000000000000000000000000000000000000000000000000000021ee2,0x60f80121c31a0d46b5279700f9df786054aa5ee5,0x20168f8d206ee9c455c25ea167a7f6fb156bbc83ce4079a15325c03be4e4e6c8,11870977
2,142212,1043889,0.0,0x00000000000000000000000000000000000000000000000000000000000214a5,0x60f80121c31a0d46b5279700f9df786054aa5ee5,0xbcb13ba0bcec922a7cbf4fff167745d73b2df90e032371608a01444fea308b9e,11870978
3,350402,1025286,0.9,0x00000000000000000000000000000000000000000000000000000000000f4312,0x059edd72cd353df5106d2b9cc5ab83a52287ac3a,0x1b6d55f12526eab83ae2d7b04bc3a5187e370d67c18052d29c2097610c15076d,11870978
4,970529,645613,0.0,0x89aac674d6783a88a0840c614574120190697299f1bfbe74f4a9c0ee4deb55a6,0x2a187453064356c898cae034eaed119e1663acb8,0xe4ee91647d23dbb5130832337f0bcfd5c060bfc40de0bc93514e555ea6085822,11870980
5,0,680494,0.0,0x000000000000000000000000000000000000000000000000000000000000023d,0xabefbc9fd2f806065b4f3c237d4b59d9a97bcac7,0xb585d78d9dcf5c37f2b9ffeddabcd7a7de861b20f6119d9e2b593d5ecea9d6ec,11871077
6,649474,437692,0.0,0x0000000000000000000000000000000000000000000000000000000000000135,0x4ad4455ad5ef891695c221e8e683efa65fabede0,0x4575088596f70ff619d826e8e21c22a164eb2533da9c85e274dcddcfa759033f,11870980
7,754326,0,0.0030874654206796,0x695a42a8db06dd73b12168d0842df409b8c0c2052526453a05e77a4c2d089b29,0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85,0x2107be6a4b1e66acbfb9fda78a89cbb8ec1521982be4f80fe65d4f1e409de92a,11871002
8,0,170791,0.0030874654206796,0x695a42a8db06dd73b12168d0842df409b8c0c2052526453a05e77a4c2d089b29,0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85,0x2107be6a4b1e66acbfb9fda78a89cbb8ec1521982be4f80fe65d4f1e409de92a,11871002
9,170791,583305,0.0030874654206796,0x695a42a8db06dd73b12168d0842df409b8c0c2052526453a05e77a4c2d089b29,0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85,0x2107be6a4b1e66acbfb9fda78a89cbb8ec1521982be4f80fe65d4f1e409de92a,11871002
10,1047790,219354,2.2,0x0000000000000000000000000000000000000000000000000000000000001650,0xc2c747e0f7004f9e8817db2ca4997657a7746928,0xa0c305d79b5004b2b38a89fa2d2041fa0882f845e5fb5ec71db75abd26943b3c,11870980
11,0,333341,0.0,0x0000000000000000000000000000000000000000000000000000000000000002,0x2515abeca26f921af88241b1f84700650524a021,0x51cfd89f7b8a8cd4dd08bea2fb8acd89c7d58221893e09997bf21be3add1ab0d,11871077
12,220581,949417,0.0,0x00000000000000000000000000000000000000000000000000000001bf091370,0x8ae06a29a816580cbd069e460dd57c6c964bb3da,0x8140a1cba471a60ffb4560d94eefa2ad4b2ac00679f6766b128526eaf376401e,11871077
13,195708,595605,0.0,0x0000000000000000000000000000000000000000000000000000000000004b16,0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,0xdc70f1b4544f8b88b811297007847458afc083b33ffc7951ba290c4f0467d045,11871227
14,818292,344779,0.7,0x0000000000000000000000000000000000000000000000000000000000a7d94c,0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270,0x4040aa66f1fef5f8172eb24f6da1529a109cab098ba949a9257d838a9c7aa334,11871102
15,0,738918,0.0,0x0000000000000000000000000000000000000000000000000000000000000ddf,0x4ad4455ad5ef891695c221e8e683efa65fabede0,0x1a6899cf7eacec4221a3d1145839e10ee5f237875c1f9a2a44c8020078adb63d,11871227
16,88209,1014469,0.5,0x0000000000000000000000000000000000000000000000000000000000b71c9d,0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270,0x6c0209876e08cbd6cda3e0b37709e8c1b40bfc58abea5b6cc2300a925fa13fbd,11871102
17,0,371533,0.0,0x1d23d0414f02320a67fe4ef3d1f9bb2e88893f8550d66fbbd77653ddfec0f545,0xd1e5b0ff1287aa9f9a268759062e4ab08b9dacbe,0xf222bdde81cd1db4e1b23fb53dba48f379f8bf81d1b5374695f1470261e0661f,11871177
18,0,371533,0.0,0x03142206eadc6e3f1d1862bebf15b9b4627a233cc2f465a476d32f624e22ec5f,0xd1e5b0ff1287aa9f9a268759062e4ab08b9dacbe,0x769c241b40d8f4c48557c1e9ad1ed5109da847460c5ba2d62ed5b613b84a0bc2,11871177
19,0,738918,0.0,0x0000000000000000000000000000000000000000000000000000000000000de7,0x4ad4455ad5ef891695c221e8e683efa65fabede0,0x9756ac2f002ebdd4b3a11928356bbddfdeff99d2dbbd8db1ac79c0c3483b1f1e,11871352
20,0,738918,0.0,0x0000000000000000000000000000000000000000000000000000000000000de8,0x4ad4455ad5ef891695c221e8e683efa65fabede0,0xa3965063a3ebb1a777861c36975066f327c06a859d6782509e18f617b286a1fd,11871352
21,25712,0,0.0,0x0000000000000000000000000000000000000000000000000000000000000070,0x75dde2c445a112d270d766697330be0db700636e,0x9de45cba82ad712c27ad1ef91371cf33ea6268ae4c1a5aa76798c8e4e369d2e1,11871027
22,42679,934803,0.070725,0x0000000000000000000000000000000000000000000000000000000000018ee7,0x60f80121c31a0d46b5279700f9df786054aa5ee5,0x800f3347f280aeac085adf90a79211d462b070369d2e90b4f97a40bf8207cbfe,11871352
23,859913,751250,0.0,0x87f76a9c8ea4cc1dc584eb6f565754ea2817ac9265eb5c99cfb318e89ffee968,0x629a673a8242c2ac4b7b8c5d8735fbeac21a6205,0x875eb5b04c2d3be7e88da9972c2aeccde1f3d42dd221ef120751883e666fb625,11871177
24,448704,926080,0.0,0x3b3b426017b07206557673d7e355c54d11dd4679a828582218629843ae8b5cc4,0x629a673a8242c2ac4b7b8c5d8735fbeac21a6205,0xdb4b380ade12092b5cf5dab695538b4c2c164838253ff52a8a7dbf06c5b0c6e1,11871177
25,692040,240289,0.0,0x30edb8d3952a29f807e6bcf69779ff4fb1e1239c85486a8cd68c53853036a0f3,0x629a673a8242c2ac4b7b8c5d8735fbeac21a6205,0xde6f39c76561d383f03344c4f2a5e0263fc44ac10242a740a77dd378d6b1f5a6,11871177
26,213916,620634,0.0,0xf2de5e152c955ea588a83807d61ef3ce0e09acdd524dca2c8254f223894f1251,0x629a673a8242c2ac4b7b8c5d8735fbeac21a6205,0x6a5b2b1f2ce335e7239246a1c74cd8c0d86afc22c20c9893ed976d0011d20580,11871177
27,213916,959612,0.0,0x17516fc10e227078aa42c8886e65b2c59cdb5b89ea11975ce7752a7d13b1254f,0x629a673a8242c2ac4b7b8c5d8735fbeac21a6205,0x26b5e24ed42be2a333c6f4857d9c96421354568d03ba591d480dcfe53e9fa192,11871177
28,213916,501568,0.0,0xe980591fe60830dde5d22970b5775cc1183398487315826c598799f4e9f8cb9c,0x629a673a8242c2ac4b7b8c5d8735fbeac21a6205,0xba48551e32f475b2ccf60929e9f9bb7dc04c6fd93e91b4f12ca9f369f5e66d89,11871177
29,213916,442906,0.0,0x51588726acfa9e3829e137d6807b05bd6c557edfc4d8a227e1b3d5c1f06e3fb8,0x629a673a8242c2ac4b7b8c5d8735fbeac21a6205,0x647f41a03c529d02ad7d091378ac5172b25d343b88a978cd5989473f363caa1f,11871177
30,95493,1075280,0.0,0x36120561a2693f84e185b4ef7dfc7025b7b8c776212f0f507db59471f8a0e493,0x629a673a8242c2ac4b7b8c5d8735fbeac21a6205,0x8675c5133924ad75a446b768796f848d8b07f4c70eabb08f5368404c69c0689f,11871177
31,213916,72743,0.0,0x0c986705219439e89a49de303d0897e4ef6f64db732bd8a3a03e970f39df85f2,0x629a673a8242c2ac4b7b8c5d8735fbeac21a6205,0x7d4f7d6f2a072602124d6ab89b2741db3fc2a99f8c9b829593f2079f6da97e7a,11871177
32,213916,281909,0.0,0xdf0b29660b46b1562ec49943bb559eeb798274ac1f36d8e99ee98988d3eb248e,0x629a673a8242c2ac4b7b8c5d8735fbeac21a6205,0x023b62514e0100ccc71be5d61b07d4b8af0f89b0fc1943b10243c8a371d4f400,11871177
33,0,170791,0.0030950276598755,0x0849072b37bde1c0a55c6c85923d2bb446b7124e6318debbe9e79e73dca12aeb,0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85,0x57554845e01179fbff1be4ab362807afbad557b4228d9ce797000581c757c5b8,11871102
34,170791,1011370,0.0030950276598755,0x0849072b37bde1c0a55c6c85923d2bb446b7124e6318debbe9e79e73dca12aeb,0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85,0x57554845e01179fbff1be4ab362807afbad557b4228d9ce797000581c757c5b8,11871102
35,213916,593696,0.0,0x2a07c734c5b0290efff9d6c3b28158e47e6c0f76150501bec0b1562b83182451,0x629a673a8242c2ac4b7b8c5d8735fbeac21a6205,0x87ae6300f2be96816dd428dad58a8efa23ab518fff190dcb26d2819bb52a191c,11871177
36,213916,426008,0.0,0xf48f08fc0ebbf0e81fe43dceba580888d54010bdd0f5f69d2033e414b382a426,0x629a673a8242c2ac4b7b8c5d8735fbeac21a6205,0x5c5aa4dfbe17fa01624afb0ac357420fbd94c3a7bd5a87d2bf1f6a7e1f99ceb8,11871177
37,213916,596528,0.0,0xdfd4892fd24adec2b292df2760c03c13dc853dd60a64a7c0384c3b6a12ecdd1e,0x629a673a8242c2ac4b7b8c5d8735fbeac21a6205,0x611a7068d6cbab8fbde178a733a629629fca3632d229f1954423ae5fc290d131,11871177
38,213916,515166,0.0,0x9d1c1752cc0d1c823846fd21ed0df8f2c518fdd959241f92b7158a7e0c5ec2f5,0x629a673a8242c2ac4b7b8c5d8735fbeac21a6205,0xe80fe4b48481a49a98eaff82edf7562586b710330153cb683f3e0a4b4c61d8e8,11871177
39,213916,265484,0.0,0x32d1f93e6de70dfc0ec920ed5ad5575841b561abe94850c6ca81c1d29c6d187d,0x629a673a8242c2ac4b7b8c5d8735fbeac21a6205,0x1bb1013395b1dbed3fa1cbd286cab66f5f6f9ff720a67b82ca4078de03d68a9e,11871177
40,692732,284857,0.0,0x5d8bea4b919fbb673ecd90490938c47b67360e275ee260bf494383baa1880cae,0x629a673a8242c2ac4b7b8c5d8735fbeac21a6205,0x9bff1fbdc9ae0039f3322c2ed58bdfa4ca097b44993ae1b87d9fb0da5aeebe84,11871177
41,213916,1013760,0.0,0x6df73a06e2dd7c3e231705d86e1c101a9e7f9b808424ca6499c6b8ce25e26aab,0x629a673a8242c2ac4b7b8c5d8735fbeac21a6205,0xd9a88109388636b5077ddd0d0126e66718b99cdb34eb6bba66eaba61084dfae4,11871177
42,213916,769150,0.0,0x522148da6bf94dea6ec794159f736a359c629f31c53f1c58bb88993403494483,0x629a673a8242c2ac4b7b8c5d8735fbeac21a6205,0x773ea0dfd717ae9cd836a5631391ed1b27246cafbac853d0562ead83a9e4d787,11871177
43,0,371533,0.0,0x0c3a5be1791a4eb627475a2a41f629f62e031aacd94b5d3ca216d2e2592e1251,0xd1e5b0ff1287aa9f9a268759062e4ab08b9dacbe,0xbd85cb592aca875a86787bf2770944987b3d6f18fbaa240b1d5a48b188006bdb,11871202
44,0,622814,0.25,0x00000000000000000000000000000000000000000000000000000000000446ed,0xfbeef911dc5821886e1dda71586d90ed28174b7d,0xacc4b07e275a0bcd8daff93af386e74c5b12914418b2d3ae9d5f667b36e95536,11871277
45,383376,810228,0.0102,0x00000000000000000000000000000000000000000000000000000000000003ae,0xd35147be6401dcb20811f2104c33de8e97ed6818,0xe608b5538ea3a55fb40c9bdfc213c7385602ccb4615be4ff2903950e020048a2,11871352
46,380176,966855,0.0,0x0000000000000000000000000000000000000000000000000000000000000e78,0x959e104e1a4db6317fa58f8295f586e1a978c297,0xcf4c470cd06ebd18305395748ca396e4bdc80dc4f56017e2ad189b45300515e6,11871277
47,966855,790091,0.0,0x0000000000000000000000000000000000000000000000000000000000000e78,0x959e104e1a4db6317fa58f8295f586e1a978c297,0xcf4c470cd06ebd18305395748ca396e4bdc80dc4f56017e2ad189b45300515e6,11871277
48,704820,77070,0.0,0x000000000000000000000000000000000000000000000000000000000000008c,0x913ae503153d9a335398d0785ba60a2d63ddb4e2,0x6aba1819ac9fbd25bc9962b8dc53d80577f3a4cbaf444789ed42f8a4020037b7,11871177
49,569628,475564,0.0,0x5f5386eae3387166e105c7bc9f5aa3a20bef7e1b665e9ea9b01fbd364220b1c2,0x629a673a8242c2ac4b7b8c5d8735fbeac21a6205,0x9ce8411f15559cf39dcd6bdd49419bed6f6c3f506b1ececf4de942217328c4ea,11871352
50,0,644005,0.0,0xabac40e8e148a2144174780cc8947409169cd3f354210668a3e35669203e8bea,0xd1e5b0ff1287aa9f9a268759062e4ab08b9dacbe,0x1949eceba115b88cd86efca606f2a6ce794e67fbf458f1dc771d6d96ae061416,11871052
51,0,464977,0.0,0xc7632f94b2dfa1babee5a5674232d9c10015c09b572d483c88e1c41a3fcbac97,0xd1e5b0ff1287aa9f9a268759062e4ab08b9dacbe,0xc51f1894bb1ea8745ea263869eb41febd1984181e1a6ad4fa45b4b8edfb18f82,11871052
52,0,547711,0.0,0x912a7229afe59a72c6087dfb8d255a9b901c1a00cebefec7a3c9507375e8c14e,0xd1e5b0ff1287aa9f9a268759062e4ab08b9dacbe,0xe80542db1afb5de3c3e5b02cb590beadf39ea8191d826702e8d4d1cb5e628a53,11871052
53,0,648915,0.0,0xdb366fcc92cb1ad663ee94d9777b03c6e7c298b9a65be75357f60d5447e83a31,0xd1e5b0ff1287aa9f9a268759062e4ab08b9dacbe,0x430b0917a4177a237a811d1f1f286e0687d9f44da8aa4b73f1e2a87a8b340f63,11871052
54,0,547711,0.0,0x1b6865c696e04595b91f7c6005405bbbdb0de4199d263ffb7bed65b292500f48,0xd1e5b0ff1287aa9f9a268759062e4ab08b9dacbe,0xf58c30112dfc521dd6ed8905561cf37ce369117df4a9c3f74ecc0170469345e0,11871052
55,0,758076,0.0,0x9b66355d090667bc1bc8a69b420f18affa953a86bda1390aa5109cac9382d52b,0xd1e5b0ff1287aa9f9a268759062e4ab08b9dacbe,0x0a9b140ec66ab84737db10ea1e2bc4583844931dde3c33dc935bc65368696db0,11871052
56,0,125507,0.0,0xfe7267d75d7956d6ab4310ec01baa6ac68a2b864f9bc84446b8761b6a147fd4e,0xd1e5b0ff1287aa9f9a268759062e4ab08b9dacbe,0xd1eedf59aa3c3fff621484d99b86db196bc7e6460e7051993730decf5b4592e5,11871052
57,0,101774,0.0,0x8f49258bc8d2acd4ad7873d1fea14b84abf4bc39d338de6985b9a5366ff7738d,0xd1e5b0ff1287aa9f9a268759062e4ab08b9dacbe,0xd149dcbd6bd9d9ba9d24ab4267655049f328b0a7540d1c5645f5a91fe48ca580,11871052
58,0,766972,0.0,0x8652dcdc4d46282bd1af71a1cb1d008c8fc35a556b7b663525d020d399fe9a8e,0xd1e5b0ff1287aa9f9a268759062e4ab08b9dacbe,0x1acd40fe1e6970ffc2bb13071cfaa216b43288019f78ecfb0357763d47e07f37,11871052
59,0,257853,0.0,0xa1f4b2a4752c28e2fc97d1eec7b5f347ad2318293367f7773ff6009401a7c4eb,0xd1e5b0ff1287aa9f9a268759062e4ab08b9dacbe,0x1385a7488b6fdf5f4bad6028593720b6b7c5725765784495dd6b1d456d18ad1f,11871052
60,0,766972,0.0,0xcc848bef14a883c181074db477e7c7d31cfb062dba4764e35f21494b6af7abee,0xd1e5b0ff1287aa9f9a268759062e4ab08b9dacbe,0x7e5a6c17e111a5a9d2ee45e85f30e4b8066f63004bfe44292735285a3106748d,11871052
61,0,539398,0.0,0x29485e7658e671665f39dba5bd75e109e92cf450230b858c6cdb6066f2e5401e,0xd1e5b0ff1287aa9f9a268759062e4ab08b9dacbe,0xa22bf77815183d114edb2965993fb86a2fa3c4904c06866ceb0b27cfd9616564,11871052
62,0,547711,0.0,0xa83ce39e60ccb5db2294177f2f6da08d838397aafb84695d8fe814cd6266a2ac,0xd1e5b0ff1287aa9f9a268759062e4ab08b9dacbe,0xc8fae5eadd57f7745b199aeb14c464238748829f6bea5e54fddf2ed22bbe3aa8,11871052
63,0,949417,0.0,0x000000000000000000000000000000000000000000000000000000004d7cbb4e,0x4629122c04eacc2ca48bda4a92aadcaee5d15389,0xbd78fe341d421c1f8f68048f0ed735b253d184d3dcf4032a8387724cadea6de6,11871228
64,0,836023,0.0,0x2e2131d6a9a93cd4d80b3147b2549caad66b3ee383c7dae8e31156b23dac4505,0xd1e5b0ff1287aa9f9a268759062e4ab08b9dacbe,0x2c9bd9d26ce20b421b43d917aec3bffde3f918ecd0f26e6e48662de1671e30fb,11871052
65,0,501061,0.0,0xb54edce9860cbabd7c6265fe99b0a7ef8fbe4240f3e292d18ae7b490b0f5b955,0xd1e5b0ff1287aa9f9a268759062e4ab08b9dacbe,0xe4a5ea719ac4187f51b499aa6ab2fc73ddca709a7f08f38ec4d14035710e91e8,11871052
